year-week,count
2019-39,1224
2019-40,216
2019-41,200
2019-42,2084
2019-43,782
2019-44,123
2019-45,686
2019-46,184
2019-47,453
2019-48,1504
2019-49,171
2019-50,626
2019-51,352
2019-52,24
2020-00,94
2020-01,1161
2020-02,755
2020-03,2090
2020-04,540
2020-05,1165
2020-06,2855
2020-07,6481
2020-08,2560
2020-09,2855
2020-10,5079
2020-11,2016
2020-12,8157
2020-13,17097
2020-14,3348
2020-15,3137
2020-17,2648
2020-18,1659
2020-19,3765
2020-20,3197
2020-21,1593
2020-22,1170
2020-23,5143
2020-24,3286
2020-25,3145
2020-26,1533
2020-27,3297
2020-28,869
2020-29,9859
2020-30,1571
2020-31,1756
2020-32,3445
2020-33,746
2020-34,3185
2020-35,3033
2020-36,1291
2020-37,4987
2020-38,7464
2020-39,3138
2020-40,3137
2020-41,1728
2020-42,2160
2020-43,2523
2020-44,3118
2020-45,2411
2020-46,2745
2020-47,1943
2020-48,1511
2020-49,3503
2020-50,3150
2020-51,4230
2020-52,690
2021-00,178
2021-01,4554
2021-02,3183
2021-03,2939
2021-04,2969
2021-05,5019
2021-06,11282
2021-07,4356
2021-08,4544
2021-09,6296
2021-10,3324
2021-11,3312
2021-12,6099
2021-13,2724
2021-14,13503
2021-15,3993
2021-16,5549
2021-17,6379
2021-18,8346
2021-19,361
2021-20,803
2021-21,3012
2021-22,4576
2021-23,847
2021-24,3520
2021-25,939
2021-26,4922
2021-27,697
2021-28,13742
2021-29,4381
2021-30,12813
2021-31,508
2021-32,406
2021-34,286
2021-35,5804
2021-36,3961
2021-37,1004
2021-38,5029
2021-39,1424
2021-40,4718
2021-41,1940
2021-42,11988
2021-43,15549
2021-44,16758
2021-45,8456
2021-46,31377
2021-47,3638
2021-48,6749
2021-49,8089
2021-50,9749
2021-51,4781
2021-52,1997
2022-00,33
2022-01,2496
2022-02,223
2022-03,2274
2022-04,4072
2022-05,3173
2022-06,2723
2022-07,125
2022-08,4029
2022-09,3351
2022-10,5631
2022-11,6545
2022-12,102
2022-13,3431
2022-14,544
2022-15,101
2022-16,75
2022-17,362
2022-18,3378
2022-19,4828
2022-20,5903
2022-21,1366
2022-22,1945
2022-23,5128
2022-24,1035
2022-35,2213
2022-36,2200
2022-37,160
2022-38,5138
2022-39,3363
2022-40,10493
2022-41,21137
2022-42,116
2022-43,5766
2022-44,7383
2022-45,439
2022-46,7806
2022-47,5864
2022-48,24368
2022-49,9808
2022-50,7007
2022-51,20315
2022-52,4143
2023-01,6227
2023-02,8829
2023-03,8614
2023-04,11008
2023-05,7510
2023-06,8131
2023-07,15227
2023-08,6732
2023-09,6046
2023-10,4226
2023-11,2440
2023-16,5093
2023-17,11288
2023-18,12379
2023-19,7825
2023-20,7991
2023-21,7247
2023-22,7563
2023-23,3432
2023-24,12098
2023-25,7520
2023-26,4489
2023-27,20999
2023-28,6816
2023-29,8976
2023-30,6258
2023-31,3824
2023-32,5962
2023-33,11794
2023-34,6079
2023-35,8417
2023-36,4122
2023-37,42051
2023-38,35114
2023-39,105428
2023-40,9511
2023-41,13281
2023-42,3148
2023-43,11090
2023-44,5461
2023-45,7916
2023-46,7503
2023-47,7385
2023-48,13276
2023-49,8515
2023-50,6633
2023-51,8231
2023-52,2247
2023-53,346
2024-00,7863
2024-01,18472
2024-02,9826
2024-03,15525
2024-04,11613
2024-05,31204
2024-06,13873
2024-07,12911
