num_downloads,week
477,2024-02-18
311,2024-02-11
516,2024-02-04
432,2024-01-28
379,2024-01-21
316,2024-01-14
400,2024-01-07
319,2023-12-31
343,2023-12-24
293,2023-12-17
321,2023-12-10
415,2023-12-03
371,2023-11-26
274,2023-11-19
347,2023-11-12
230,2023-11-05
430,2023-10-29
448,2023-10-22
289,2023-10-15
347,2023-10-08
308,2023-10-01
433,2023-09-24
650,2023-09-17
345,2023-09-10
160,2023-09-03
273,2023-08-27
347,2023-08-20
392,2023-08-13
627,2023-08-06
429,2023-07-30
299,2023-07-23
365,2023-07-16
369,2023-07-09
358,2023-07-02
253,2023-06-25
341,2023-06-18
429,2023-06-11
452,2023-06-04
227,2023-05-28
538,2023-05-21
425,2023-05-14
609,2023-05-07
267,2023-04-30
448,2023-04-23
257,2023-04-16
208,2023-04-09
311,2023-04-02
574,2023-03-26
482,2023-03-19
859,2023-03-12
316,2023-03-05
388,2023-02-26
636,2023-02-19
471,2023-02-12
186,2023-02-05
173,2023-01-29
201,2023-01-22
192,2023-01-15
281,2023-01-08
156,2023-01-01
218,2022-12-25
197,2022-12-18
245,2022-12-11
413,2022-12-04
370,2022-11-27
462,2022-11-20
354,2022-11-13
419,2022-11-06
648,2022-10-30
305,2022-10-23
250,2022-10-16
364,2022-10-09
365,2022-10-02
386,2022-09-25
257,2022-09-18
272,2022-09-11
288,2022-09-04
282,2022-08-28
397,2022-08-21
335,2022-08-14
222,2022-08-07
192,2022-07-31
179,2022-07-24
244,2022-07-17
120,2022-07-10
186,2022-07-03
155,2022-06-26
281,2022-06-19
262,2022-06-12
442,2022-06-05
229,2022-05-29
196,2022-05-22
354,2022-05-15
1185,2022-05-08
159,2022-05-01
146,2022-04-24
137,2022-04-17
208,2022-04-10
198,2022-04-03
228,2022-03-27
304,2022-03-20
131,2022-03-13
364,2022-03-06
339,2022-02-27
271,2022-02-20
102,2022-02-13
187,2022-02-06
160,2022-01-30
127,2022-01-23
198,2022-01-16
150,2022-01-09
214,2022-01-02
87,2021-12-26
203,2021-12-19
194,2021-12-12
214,2021-12-05
159,2021-11-28
155,2021-11-21
196,2021-11-14
107,2021-11-07
136,2021-10-31
186,2021-10-24
171,2021-10-17
134,2021-10-10
119,2021-10-03
216,2021-09-26
310,2021-09-19
373,2021-09-12
64,2021-09-05
144,2021-08-29
128,2021-08-22
123,2021-08-15
134,2021-08-08
208,2021-08-01
173,2021-07-25
191,2021-07-18
129,2021-07-11
197,2021-07-04
87,2021-06-27
183,2021-06-20
232,2021-06-13
127,2021-06-06
179,2021-05-30
180,2021-05-23
134,2021-05-16
200,2021-05-09
195,2021-05-02
150,2021-04-25
182,2021-04-18
174,2021-04-11
145,2021-04-04
190,2021-03-28
237,2021-03-21
166,2021-03-14
227,2021-03-07
249,2021-02-28
138,2021-02-21
226,2021-02-14
174,2021-02-07
240,2021-01-31
176,2021-01-24
275,2021-01-17
237,2021-01-10
152,2021-01-03
208,2020-12-27
425,2020-12-20
127,2020-12-13
116,2020-12-06
84,2020-11-29
172,2020-11-22
123,2020-11-15
177,2020-11-08
195,2020-11-01
169,2020-10-25
174,2020-10-18
167,2020-10-11
84,2020-10-04
199,2020-09-27
208,2020-09-20
176,2020-09-13
198,2020-09-06
208,2020-08-30
234,2020-08-23
150,2020-08-16
199,2020-08-09
249,2020-08-02
224,2020-07-26
149,2020-07-19
149,2020-07-12
84,2020-07-05
151,2020-06-28
156,2020-06-21
110,2020-06-14
144,2020-06-07
155,2020-05-31
184,2020-05-24
238,2020-05-17
170,2020-05-10
86,2020-05-03
197,2020-04-26
173,2020-04-19
403,2020-04-12
165,2020-04-05
187,2020-03-29
218,2020-03-22
323,2020-03-15
164,2020-03-08
186,2020-03-01
139,2020-02-23
155,2020-02-16
153,2020-02-09
111,2020-02-02
111,2020-01-26
187,2020-01-19
154,2020-01-12
141,2020-01-05
63,2019-12-29
110,2019-12-22
391,2019-12-15
126,2019-12-08
102,2019-12-01
100,2019-11-24
114,2019-11-17
98,2019-11-10
174,2019-11-03
162,2019-10-27
148,2019-10-20
139,2019-10-13
132,2019-10-06
137,2019-09-29
89,2019-09-22
159,2019-09-15
156,2019-09-08
149,2019-09-01
175,2019-08-25
145,2019-08-18
156,2019-08-11
254,2019-08-04
180,2019-07-28
125,2019-07-21
175,2019-07-14
190,2019-07-07
154,2019-06-30
131,2019-06-23
218,2019-06-16
256,2019-06-09
85,2019-06-02
254,2019-05-26
206,2019-05-19
184,2019-05-12
258,2019-05-05
683,2019-04-28
119,2019-04-21
128,2019-04-14
104,2019-04-07
147,2019-03-31
115,2019-03-24
91,2019-03-17
109,2019-03-10
147,2019-03-03
157,2019-02-24
72,2019-02-17
130,2019-02-10
108,2019-02-03
144,2019-01-27
117,2019-01-20
162,2019-01-13
281,2019-01-06
206,2018-12-30
41,2018-12-23
86,2018-12-16
106,2018-12-09
90,2018-12-02
102,2018-11-25
79,2018-11-18
75,2018-11-11
90,2018-11-04
102,2018-10-28
104,2018-10-21
106,2018-10-14
87,2018-10-07
127,2018-09-30
101,2018-09-23
137,2018-09-16
137,2018-09-09
76,2018-09-02
130,2018-08-26
86,2018-08-19
90,2018-08-12
116,2018-08-05
108,2018-07-29
38,2018-07-22
15,2018-07-15
30,2018-07-08
71,2018-07-01
18,2018-06-24
7,2018-06-17
15,2018-06-10
20,2018-06-03
18,2018-05-27
